,code,name,is_exist
140,1114014200,서울특별시 중구 예장동,존재
141,1114014300,서울특별시 중구 장충동1가,존재
142,1114014400,서울특별시 중구 장충동2가,존재
143,1114014500,서울특별시 중구 광희동1가,존재
144,1114014600,서울특별시 중구 광희동2가,존재
145,1114014700,서울특별시 중구 쌍림동,존재
146,1114014800,서울특별시 중구 을지로6가,존재
147,1114014900,서울특별시 중구 을지로7가,존재
148,1114015000,서울특별시 중구 을지로4가,존재
149,1114015100,서울특별시 중구 을지로5가,존재
150,1114015200,서울특별시 중구 주교동,존재
151,1114015300,서울특별시 중구 방산동,존재
152,1114015400,서울특별시 중구 오장동,존재
153,1114015500,서울특별시 중구 을지로3가,존재
154,1114015600,서울특별시 중구 입정동,존재
155,1114015700,서울특별시 중구 산림동,존재
156,1114015800,서울특별시 중구 충무로3가,존재
157,1114015900,서울특별시 중구 초동,존재
158,1114016000,서울특별시 중구 인현동1가,존재
159,1114016100,서울특별시 중구 저동2가,존재
160,1114016200,서울특별시 중구 신당동,존재
161,1114016300,서울특별시 중구 흥인동,존재
162,1114016400,서울특별시 중구 무학동,존재
163,1114016500,서울특별시 중구 황학동,존재
164,1114016600,서울특별시 중구 서소문동,존재
165,1114016700,서울특별시 중구 정동,존재
166,1114016800,서울특별시 중구 순화동,존재
167,1114016900,서울특별시 중구 의주로1가,존재
168,1114017000,서울특별시 중구 충정로1가,존재
169,1114017100,서울특별시 중구 중림동,존재
170,1114017200,서울특별시 중구 의주로2가,존재
171,1114017300,서울특별시 중구 만리동1가,존재
172,1114017400,서울특별시 중구 만리동2가,존재
179,1117000000,서울특별시 용산구,존재
185,1117010100,서울특별시 용산구 후암동,존재
186,1117010200,서울특별시 용산구 용산동2가,존재
187,1117010300,서울특별시 용산구 용산동4가,존재
188,1117010400,서울특별시 용산구 갈월동,존재
189,1117010500,서울특별시 용산구 남영동,존재
190,1117010600,서울특별시 용산구 용산동1가,존재
191,1117010700,서울특별시 용산구 동자동,존재
192,1117010800,서울특별시 용산구 서계동,존재
193,1117010900,서울특별시 용산구 청파동1가,존재
194,1117011000,서울특별시 용산구 청파동2가,존재
195,1117011100,서울특별시 용산구 청파동3가,존재
196,1117011200,서울특별시 용산구 원효로1가,존재
197,1117011300,서울특별시 용산구 원효로2가,존재
198,1117011400,서울특별시 용산구 신창동,존재
199,1117011500,서울특별시 용산구 산천동,존재
200,1117011600,서울특별시 용산구 청암동,존재
201,1117011700,서울특별시 용산구 원효로3가,존재
202,1117011800,서울특별시 용산구 원효로4가,존재
203,1117011900,서울특별시 용산구 효창동,존재
204,1117012000,서울특별시 용산구 도원동,존재
205,1117012100,서울특별시 용산구 용문동,존재
206,1117012200,서울특별시 용산구 문배동,존재
207,1117012300,서울특별시 용산구 신계동,존재
208,1117012400,서울특별시 용산구 한강로1가,존재
209,1117012500,서울특별시 용산구 한강로2가,존재
210,1117012600,서울특별시 용산구 용산동3가,존재
211,1117012700,서울특별시 용산구 용산동5가,존재
212,1117012800,서울특별시 용산구 한강로3가,존재
213,1117012900,서울특별시 용산구 이촌동,존재
214,1117013000,서울특별시 용산구 이태원동,존재
215,1117013100,서울특별시 용산구 한남동,존재
216,1117013200,서울특별시 용산구 동빙고동,존재
217,1117013300,서울특별시 용산구 서빙고동,존재
218,1117013400,서울특별시 용산구 주성동,존재
219,1117013500,서울특별시 용산구 용산동6가,존재
220,1117013600,서울특별시 용산구 보광동,존재
229,1120000000,서울특별시 성동구,존재
286,1120010100,서울특별시 성동구 상왕십리동,존재
287,1120010200,서울특별시 성동구 하왕십리동,존재
288,1120010300,서울특별시 성동구 홍익동,존재
289,1120010400,서울특별시 성동구 도선동,존재
290,1120010500,서울특별시 성동구 마장동,존재
291,1120010600,서울특별시 성동구 사근동,존재
292,1120010700,서울특별시 성동구 행당동,존재
293,1120010800,서울특별시 성동구 응봉동,존재
294,1120010900,서울특별시 성동구 금호동1가,존재
